batch_id,batch_size,start_time,end_time,total_time_ms,pipeline_utilization,accuracy,images_per_second,model_name,num_devices,timestamp
1,8,1751090952.1616583,1751090958.5090823,6347.424030303955,0.0,75.0,1.2603538005033688,,1,2025-06-28T01:09:18.509221
2,8,1751090952.164637,1751090959.0976968,6933.0596923828125,0.0,87.5,1.153891695002916,,1,2025-06-28T01:09:19.097788
0,8,1751090952.158409,1751090959.1517844,6993.375301361084,0.0,87.5,1.1439397508729443,,1,2025-06-28T01:09:19.151865
3,8,1751090958.523229,1751090964.8152575,6292.0286655426025,0.0,87.5,1.2714500243476097,,1,2025-06-28T01:09:24.815443
4,8,1751090959.111247,1751090965.041069,5929.821968078613,0.0,87.5,1.3491130160509974,,1,2025-06-28T01:09:25.041153
5,8,1751090959.1758723,1751090965.4075077,6231.635332107544,0.0,62.5,1.283772167922155,,1,2025-06-28T01:09:25.407558
6,8,1751090964.8391752,1751090969.4352155,4596.04024887085,0.0,62.5,1.7406287949644113,,1,2025-06-28T01:09:29.435310
7,8,1751090965.0647364,1751090969.858516,4793.779611587524,0.0,87.5,1.6688293263758724,,1,2025-06-28T01:09:29.858588
