batch_id,batch_size,start_time,end_time,total_time_ms,pipeline_utilization,accuracy,images_per_second,model_name,num_devices,timestamp
0,8,1751092335.9593582,1751092344.8482492,8888.890981674194,0.0,75.0,0.8999997881055377,,1,2025-06-28T01:32:24.848425
1,8,1751092344.8521423,1751092347.8253312,2973.188877105713,0.0,62.5,2.6907136850948055,,1,2025-06-28T01:32:27.825503
2,8,1751092347.8291965,1751092350.8397474,3010.5509757995605,0.0,87.5,2.657320890530781,,1,2025-06-28T01:32:30.839914
3,8,1751092350.843542,1751092353.7553926,2911.8504524230957,0.0,100.0,2.7473938413776717,,1,2025-06-28T01:32:33.755529
4,8,1751092353.7588124,1751092356.683855,2925.0426292419434,0.0,62.5,2.7350028748378574,,1,2025-06-28T01:32:36.684010
5,8,1751092356.6872785,1751092359.6118793,2924.600839614868,0.0,87.5,2.735416023833699,,1,2025-06-28T01:32:39.612031
6,8,1751092359.6153588,1751092362.4860077,2870.6488609313965,0.0,87.5,2.7868263892799345,,1,2025-06-28T01:32:42.486142
7,8,1751092362.4894571,1751092365.4569745,2967.517375946045,0.0,87.5,2.695856160724113,,1,2025-06-28T01:32:45.457102
