batch_id,batch_size,start_time,end_time,total_time_ms,pipeline_utilization,accuracy,images_per_second,model_name,num_devices,timestamp
0,8,1751091319.088951,1751091328.409585,9320.633888244629,0.0,50.0,0.8583107217728787,,1,2025-06-28T01:15:28.409688
1,8,1751091328.4132516,1751091331.411381,2998.129367828369,0.0,87.5,2.66833048828531,,1,2025-06-28T01:15:31.411457
2,8,1751091331.4152136,1751091334.394442,2979.2284965515137,0.0,87.5,2.6852589552161166,,1,2025-06-28T01:15:34.394506
3,8,1751091334.3974955,1751091337.4145865,3017.0910358428955,0.0,87.5,2.651560693714703,,1,2025-06-28T01:15:37.414681
4,8,1751091337.4177547,1751091340.3560228,2938.2681846618652,0.0,100.0,2.7226922449628734,,1,2025-06-28T01:15:40.356119
5,8,1751091340.359147,1751091343.2952738,2936.126708984375,0.0,100.0,2.724678051366268,,1,2025-06-28T01:15:43.295373
6,8,1751091343.298354,1751091346.18941,2891.0560607910156,0.0,87.5,2.7671549190959435,,1,2025-06-28T01:15:46.189515
7,8,1751091346.1929257,1751091349.169409,2976.4833450317383,0.0,87.5,2.6877355162606147,,1,2025-06-28T01:15:49.169507
