batch_id,batch_size,start_time,end_time,total_time_ms,pipeline_utilization,accuracy,images_per_second,model_name,num_devices,timestamp
0,8,1751091908.8480484,1751091917.5284605,8680.41205406189,0.0,87.5,0.9216152355643648,,1,2025-06-28T01:25:17.528552
1,8,1751091917.5328262,1751091920.5446098,3011.7835998535156,0.0,75.0,2.656233336415371,,1,2025-06-28T01:25:20.544675
2,8,1751091920.548885,1751091923.5242505,2975.365400314331,0.0,87.5,2.6887453887696764,,1,2025-06-28T01:25:23.524316
3,8,1751091923.5284913,1751091926.5209055,2992.4142360687256,0.0,75.0,2.6734266611797617,,1,2025-06-28T01:25:26.520967
4,8,1751091926.5251303,1751091929.5130703,2987.9400730133057,0.0,87.5,2.6774298695797087,,1,2025-06-28T01:25:29.513128
5,8,1751091929.5172644,1751091932.4326003,2915.3358936309814,0.0,75.0,2.744109183945933,,1,2025-06-28T01:25:32.432742
6,8,1751091932.4372134,1751091935.386644,2949.430465698242,0.0,75.0,2.712388067133529,,1,2025-06-28T01:25:35.386796
7,8,1751091935.390507,1751091938.3245413,2934.0343475341797,0.0,50.0,2.726621113595128,,1,2025-06-28T01:25:38.324704
