batch_id,batch_size,start_time,end_time,total_time_ms,pipeline_utilization,accuracy,images_per_second,model_name,num_devices,timestamp
2,8,1751093366.2422798,1751093373.271428,7029.14834022522,0.0,75.0,1.13811796433701,,1,2025-06-28T01:49:33.271599
0,8,1751093366.2351358,1751093373.3157694,7080.633640289307,0.0,100.0,1.1298423850768713,,1,2025-06-28T01:49:33.315861
1,8,1751093366.2389252,1751093373.339896,7100.97074508667,0.0,37.5,1.1266065284856144,,1,2025-06-28T01:49:33.339959
3,8,1751093373.27503,1751093379.9688938,6693.863868713379,0.0,87.5,1.1951243940575793,,1,2025-06-28T01:49:39.969035
4,8,1751093373.3396018,1751093380.0439918,6704.390048980713,0.0,87.5,1.1932479974395676,,1,2025-06-28T01:49:40.044084
5,8,1751093373.3631692,1751093380.1592276,6796.058416366577,0.0,62.5,1.177152918629133,,1,2025-06-28T01:49:40.159313
7,8,1751093380.0680754,1751093384.7909415,4722.866058349609,0.0,100.0,1.6938866995511566,,1,2025-06-28T01:49:44.791026
6,8,1751093379.9932172,1751093385.0430546,5049.837350845337,0.0,62.5,1.5842094396685489,,1,2025-06-28T01:49:45.069974
